Team_ID,Team_Composition,Unique_Loss_Count
100,"Beaver, Cricket, Beaver",177
352,"Horse, Fish, Beaver",178
568,"Otter, Ant, Beaver",178
17,"Ant, Beaver, Pig",178
73,"Ant, Pig, Beaver",179
156,"Beaver, Pig, Fish",179
33,"Ant, Fish, Mouse",180
574,"Otter, Ant, Otter",180
268,"Fish, Cricket, Otter",182
65,"Ant, Otter, Cricket",183
329,"Horse, Ant, Mosquito",183
595,"Otter, Fish, Beaver",184
324,"Horse, Ant, Ant",184
308,"Fish, Otter, Cricket",184
92,"Beaver, Beaver, Cricket",186
95,"Beaver, Beaver, Mosquito",187
331,"Horse, Ant, Otter",187
452,"Mosquito, Mosquito, Cricket",187
567,"Otter, Ant, Ant",187
300,"Fish, Mouse, Fish",188
276,"Fish, Fish, Mouse",189
660,"Pig, Beaver, Fish",191
90,"Beaver, Beaver, Ant",191
296,"Fish, Mosquito, Pig",193
311,"Fish, Otter, Mosquito",194
425,"Mosquito, Cricket, Cricket",194
265,"Fish, Cricket, Horse",194
451,"Mosquito, Mosquito, Beaver",195
269,"Fish, Cricket, Pig",196
439,"Mosquito, Fish, Otter",196
677,"Pig, Fish, Cricket",197
52,"Ant, Mosquito, Otter",198
208,"Cricket, Mosquito, Beaver",199
181,"Cricket, Cricket, Beaver",202
323,"Fish, Pig, Pig",202
411,"Mosquito, Ant, Mouse",202
209,"Cricket, Mosquito, Cricket",203
16,"Ant, Beaver, Otter",203
320,"Fish, Pig, Mosquito",203
424,"Mosquito, Cricket, Beaver",204
259,"Fish, Beaver, Otter",204
64,"Ant, Otter, Beaver",204
317,"Fish, Pig, Cricket",204
131,"Beaver, Mosquito, Mosquito",206
295,"Fish, Mosquito, Otter",206
588,"Otter, Cricket, Fish",207
680,"Pig, Fish, Mosquito",210
315,"Fish, Pig, Ant",210
68,"Ant, Otter, Mosquito",210
168,"Cricket, Ant, Mouse",211
419,"Mosquito, Beaver, Mosquito",211
599,"Otter, Fish, Mosquito",212
70,"Ant, Otter, Otter",212
120,"Beaver, Horse, Fish",213
440,"Mosquito, Fish, Pig",213
112,"Beaver, Fish, Horse",213
154,"Beaver, Pig, Beaver",214
675,"Pig, Fish, Ant",214
101,"Beaver, Cricket, Cricket",215
197,"Cricket, Fish, Pig",216
24,"Ant, Cricket, Mouse",216
104,"Beaver, Cricket, Mosquito",218
196,"Cricket, Fish, Otter",219
306,"Fish, Otter, Ant",220
228,"Cricket, Otter, Fish",220
201,"Cricket, Horse, Fish",220
193,"Cricket, Fish, Horse",220
516,"Mouse, Fish, Fish",222
176,"Cricket, Beaver, Mosquito",223
37,"Ant, Horse, Beaver",224
98,"Beaver, Beaver, Pig",224
281,"Fish, Horse, Cricket",225
128,"Beaver, Mosquito, Cricket",226
488,"Mouse, Ant, Cricket",226
147,"Beaver, Otter, Fish",227
182,"Cricket, Cricket, Cricket",227
471,"Mosquito, Otter, Fish",228
480,"Mosquito, Pig, Fish",229
596,"Otter, Fish, Cricket",230
63,"Ant, Otter, Ant",232
669,"Pig, Cricket, Fish",232
353,"Horse, Fish, Cricket",232
487,"Mouse, Ant, Beaver",233
284,"Fish, Horse, Mosquito",233
658,"Pig, Beaver, Beaver",233
615,"Otter, Mosquito, Fish",233
416,"Mosquito, Beaver, Cricket",235
491,"Mouse, Ant, Mosquito",238
256,"Fish, Beaver, Horse",238
696,"Pig, Mosquito, Fish",238
493,"Mouse, Ant, Otter",238
99,"Beaver, Cricket, Ant",239
356,"Horse, Fish, Mosquito",240
237,"Cricket, Pig, Fish",242
336,"Horse, Beaver, Fish",243
654,"Pig, Ant, Mouse",244
279,"Fish, Horse, Ant",246
450,"Mosquito, Mosquito, Ant",247
26,"Ant, Cricket, Pig",247
723,"Pig, Pig, Fish",248
594,"Otter, Fish, Ant",248
423,"Mosquito, Cricket, Ant",248
486,"Mouse, Ant, Ant",249
345,"Horse, Cricket, Fish",250
126,"Beaver, Mosquito, Ant",250
590,"Otter, Cricket, Mosquito",250
230,"Cricket, Otter, Mosquito",252
351,"Horse, Fish, Ant",252
444,"Mosquito, Horse, Fish",253
436,"Mosquito, Fish, Horse",253
313,"Fish, Otter, Otter",253
579,"Otter, Beaver, Fish",253
314,"Fish, Otter, Pig",254
53,"Ant, Mosquito, Pig",254
414,"Mosquito, Beaver, Ant",254
180,"Cricket, Cricket, Ant",256
207,"Cricket, Mosquito, Ant",256
298,"Fish, Mouse, Beaver",256
292,"Fish, Mosquito, Horse",256
13,"Ant, Beaver, Horse",257
683,"Pig, Fish, Pig",257
77,"Ant, Pig, Mosquito",264
56,"Ant, Mouse, Cricket",265
372,"Horse, Mosquito, Fish",266
173,"Cricket, Beaver, Cricket",267
586,"Otter, Cricket, Beaver",271
682,"Pig, Fish, Otter",272
55,"Ant, Mouse, Beaver",272
470,"Mosquito, Otter, Cricket",272
473,"Mosquito, Otter, Mosquito",272
171,"Cricket, Beaver, Ant",273
430,"Mosquito, Cricket, Otter",273
72,"Ant, Pig, Ant",276
299,"Fish, Mouse, Cricket",277
478,"Mosquito, Pig, Beaver",277
89,"Beaver, Ant, Pig",278
74,"Ant, Pig, Cricket",279
287,"Fish, Horse, Pig",279
322,"Fish, Pig, Otter",279
330,"Horse, Ant, Mouse",280
577,"Otter, Beaver, Beaver",280
514,"Mouse, Fish, Beaver",281
59,"Ant, Mouse, Mosquito",282
633,"Otter, Otter, Fish",282
573,"Otter, Ant, Mouse",283
161,"Beaver, Pig, Pig",283
302,"Fish, Mouse, Mosquito",283
38,"Ant, Horse, Cricket",284
226,"Cricket, Otter, Beaver",285
97,"Beaver, Beaver, Otter",286
642,"Otter, Pig, Fish",290
457,"Mosquito, Mosquito, Otter",290
145,"Beaver, Otter, Beaver",291
106,"Beaver, Cricket, Otter",292
85,"Beaver, Ant, Horse",292
214,"Cricket, Mosquito, Otter",292
146,"Beaver, Otter, Cricket",292
507,"Mouse, Cricket, Fish",293
235,"Cricket, Pig, Beaver",293
114,"Beaver, Fish, Mouse",294
41,"Ant, Horse, Mosquito",294
227,"Cricket, Otter, Cricket",296
61,"Ant, Mouse, Otter",296
80,"Ant, Pig, Pig",296
267,"Fish, Cricket, Mouse",296
617,"Otter, Mosquito, Mosquito",297
334,"Horse, Beaver, Beaver",297
138,"Beaver, Mouse, Fish",298
359,"Horse, Fish, Pig",298
166,"Cricket, Ant, Horse",298
613,"Otter, Mosquito, Beaver",299
721,"Pig, Pig, Beaver",299
601,"Otter, Fish, Otter",300
602,"Otter, Fish, Pig",300
614,"Otter, Mosquito, Cricket",301
134,"Beaver, Mosquito, Pig",301
422,"Mosquito, Beaver, Pig",301
118,"Beaver, Horse, Beaver",301
687,"Pig, Horse, Fish",302
587,"Otter, Cricket, Cricket",304
286,"Fish, Horse, Otter",306
36,"Ant, Horse, Ant",306
665,"Pig, Beaver, Pig",308
158,"Beaver, Pig, Mosquito",308
199,"Cricket, Horse, Beaver",308
187,"Cricket, Cricket, Otter",309
297,"Fish, Mouse, Ant",309
54,"Ant, Mouse, Ant",309
310,"Fish, Otter, Horse",309
179,"Cricket, Beaver, Pig",310
469,"Mosquito, Otter, Beaver",311
155,"Beaver, Pig, Cricket",311
149,"Beaver, Otter, Mosquito",311
219,"Cricket, Mouse, Fish",311
49,"Ant, Mosquito, Horse",311
153,"Beaver, Pig, Ant",312
534,"Mouse, Mosquito, Fish",313
518,"Mouse, Fish, Mosquito",314
107,"Beaver, Cricket, Pig",314
184,"Cricket, Cricket, Horse",315
133,"Beaver, Mosquito, Otter",315
606,"Otter, Horse, Fish",315
51,"Ant, Mosquito, Mouse",315
438,"Mosquito, Fish, Mouse",316
714,"Pig, Otter, Fish",318
358,"Horse, Fish, Otter",318
667,"Pig, Cricket, Beaver",318
15,"Ant, Beaver, Mouse",319
679,"Pig, Fish, Horse",320
462,"Mosquito, Mouse, Fish",320
319,"Fish, Pig, Horse",321
482,"Mosquito, Pig, Mosquito",321
694,"Pig, Mosquito, Beaver",321
258,"Fish, Beaver, Mouse",322
662,"Pig, Beaver, Mosquito",323
659,"Pig, Beaver, Cricket",323
498,"Mouse, Beaver, Fish",324
103,"Beaver, Cricket, Horse",324
203,"Cricket, Horse, Mosquito",326
170,"Cricket, Ant, Pig",327
585,"Otter, Cricket, Ant",327
294,"Fish, Mosquito, Mouse",327
657,"Pig, Beaver, Ant",327
515,"Mouse, Fish, Cricket",329
427,"Mosquito, Cricket, Horse",329
413,"Mosquito, Ant, Pig",330
94,"Beaver, Beaver, Horse",331
458,"Mosquito, Mosquito, Pig",331
225,"Cricket, Otter, Ant",332
211,"Cricket, Mosquito, Horse",333
581,"Otter, Beaver, Mosquito",334
656,"Pig, Ant, Pig",334
144,"Beaver, Otter, Ant",334
390,"Horse, Otter, Fish",335
175,"Cricket, Beaver, Horse",335
421,"Mosquito, Beaver, Otter",336
399,"Horse, Pig, Fish",337
215,"Cricket, Mosquito, Pig",337
431,"Mosquito, Cricket, Pig",340
640,"Otter, Pig, Beaver",342
468,"Mosquito, Otter, Ant",343
195,"Cricket, Fish, Mouse",343
409,"Mosquito, Ant, Horse",344
698,"Pig, Mosquito, Mosquito",344
69,"Ant, Otter, Mouse",345
71,"Ant, Otter, Pig",345
343,"Horse, Cricket, Beaver",345
635,"Otter, Otter, Mosquito",345
239,"Cricket, Pig, Mosquito",346
513,"Mouse, Fish, Ant",346
492,"Mouse, Ant, Mouse",347
598,"Otter, Fish, Horse",347
446,"Mosquito, Horse, Mosquito",348
475,"Mosquito, Otter, Otter",349
200,"Cricket, Horse, Cricket",349
479,"Mosquito, Pig, Cricket",349
671,"Pig, Cricket, Mosquito",351
652,"Pig, Ant, Horse",352
119,"Beaver, Horse, Cricket",353
442,"Mosquito, Horse, Beaver",355
509,"Mouse, Cricket, Mosquito",355
631,"Otter, Otter, Beaver",355
188,"Cricket, Cricket, Pig",356
221,"Cricket, Mouse, Mosquito",357
668,"Pig, Cricket, Cricket",359
283,"Fish, Horse, Horse",359
122,"Beaver, Horse, Mosquito",360
370,"Horse, Mosquito, Beaver",360
485,"Mosquito, Pig, Pig",360
151,"Beaver, Otter, Otter",362
79,"Ant, Pig, Otter",363
695,"Pig, Mosquito, Cricket",363
496,"Mouse, Beaver, Beaver",363
505,"Mouse, Cricket, Beaver",364
464,"Mosquito, Mouse, Mosquito",365
578,"Otter, Beaver, Cricket",365
612,"Otter, Mosquito, Ant",365
363,"Horse, Horse, Fish",366
374,"Horse, Mosquito, Mosquito",366
43,"Ant, Horse, Otter",366
178,"Cricket, Beaver, Otter",367
461,"Mosquito, Mouse, Cricket",368
304,"Fish, Mouse, Otter",368
347,"Horse, Cricket, Mosquito",368
198,"Cricket, Horse, Ant",369
44,"Ant, Horse, Pig",370
232,"Cricket, Otter, Otter",370
117,"Beaver, Horse, Ant",370
454,"Mosquito, Mosquito, Horse",370
67,"Ant, Otter, Horse",371
152,"Beaver, Otter, Pig",371
312,"Fish, Otter, Mouse",373
576,"Otter, Beaver, Ant",373
624,"Otter, Mouse, Fish",373
136,"Beaver, Mouse, Beaver",373
443,"Mosquito, Horse, Cricket",374
521,"Mouse, Fish, Pig",374
477,"Mosquito, Pig, Ant",375
130,"Beaver, Mosquito, Horse",376
242,"Cricket, Pig, Pig",376
632,"Otter, Otter, Cricket",377
341,"Horse, Beaver, Pig",377
355,"Horse, Fish, Horse",377
429,"Mosquito, Cricket, Mouse",378
666,"Pig, Cricket, Ant",379
592,"Otter, Cricket, Otter",379
332,"Horse, Ant, Pig",379
575,"Otter, Ant, Pig",380
137,"Beaver, Mouse, Cricket",380
338,"Horse, Beaver, Mosquito",382
160,"Beaver, Pig, Otter",382
305,"Fish, Mouse, Pig",382
217,"Cricket, Mouse, Beaver",383
701,"Pig, Mosquito, Pig",386
335,"Horse, Beaver, Cricket",386
584,"Otter, Beaver, Pig",388
532,"Mouse, Mosquito, Beaver",388
728,"Pig, Pig, Pig",388
344,"Horse, Cricket, Cricket",388
206,"Cricket, Horse, Pig",389
552,"Mouse, Otter, Fish",389
236,"Cricket, Pig, Cricket",389
674,"Pig, Cricket, Pig",389
536,"Mouse, Mosquito, Mosquito",392
333,"Horse, Beaver, Ant",392
371,"Horse, Mosquito, Cricket",392
619,"Otter, Mosquito, Otter",393
397,"Horse, Pig, Beaver",393
533,"Mouse, Mosquito, Cricket",394
685,"Pig, Horse, Beaver",394
571,"Otter, Ant, Horse",394
589,"Otter, Cricket, Horse",394
140,"Beaver, Mouse, Mosquito",394
418,"Mosquito, Beaver, Horse",395
328,"Horse, Ant, Horse",395
693,"Pig, Mosquito, Ant",396
233,"Cricket, Otter, Pig",396
712,"Pig, Otter, Beaver",396
234,"Cricket, Pig, Ant",397
125,"Beaver, Horse, Pig",398
681,"Pig, Fish, Mouse",398
456,"Mosquito, Mosquito, Mouse",399
476,"Mosquito, Otter, Pig",400
213,"Cricket, Mosquito, Mouse",401
520,"Mouse, Fish, Otter",401
506,"Mouse, Cricket, Cricket",401
664,"Pig, Beaver, Otter",401
670,"Pig, Cricket, Horse",403
460,"Mosquito, Mouse, Beaver",404
105,"Beaver, Cricket, Mouse",405
76,"Ant, Pig, Horse",405
604,"Otter, Horse, Beaver",405
705,"Pig, Mouse, Fish",406
229,"Cricket, Otter, Horse",406
644,"Otter, Pig, Mosquito",406
630,"Otter, Otter, Ant",407
593,"Otter, Cricket, Pig",408
342,"Horse, Cricket, Ant",408
725,"Pig, Pig, Mosquito",408
620,"Otter, Mosquito, Pig",409
96,"Beaver, Beaver, Mouse",409
673,"Pig, Cricket, Otter",410
722,"Pig, Pig, Cricket",410
218,"Cricket, Mouse, Cricket",410
720,"Pig, Pig, Ant",412
157,"Beaver, Pig, Horse",413
500,"Mouse, Beaver, Mosquito",414
205,"Cricket, Horse, Otter",414
713,"Pig, Otter, Cricket",416
600,"Otter, Fish, Mouse",417
135,"Beaver, Mouse, Ant",418
238,"Cricket, Pig, Horse",418
388,"Horse, Otter, Beaver",420
441,"Mosquito, Horse, Ant",421
716,"Pig, Otter, Mosquito",422
124,"Beaver, Horse, Otter",423
321,"Fish, Pig, Mouse",424
186,"Cricket, Cricket, Mouse",425
647,"Otter, Pig, Pig",429
504,"Mouse, Cricket, Ant",429
484,"Mosquito, Pig, Otter",429
497,"Mouse, Beaver, Cricket",430
202,"Cricket, Horse, Horse",430
608,"Otter, Horse, Mosquito",430
148,"Beaver, Otter, Horse",430
301,"Fish, Mouse, Horse",431
132,"Beaver, Mosquito, Mouse",431
561,"Mouse, Pig, Fish",431
472,"Mosquito, Otter, Horse",432
381,"Horse, Mouse, Fish",432
700,"Pig, Mosquito, Otter",432
60,"Ant, Mouse, Mouse",433
392,"Horse, Otter, Mosquito",434
346,"Horse, Cricket, Horse",435
369,"Horse, Mosquito, Ant",435
661,"Pig, Beaver, Horse",435
637,"Otter, Otter, Otter",438
495,"Mouse, Beaver, Ant",438
350,"Horse, Cricket, Pig",438
641,"Otter, Pig, Cricket",439
459,"Mosquito, Mouse, Ant",440
494,"Mouse, Ant, Pig",440
583,"Otter, Beaver, Otter",443
525,"Mouse, Horse, Fish",443
216,"Cricket, Mouse, Ant",443
349,"Horse, Cricket, Otter",444
62,"Ant, Mouse, Pig",444
389,"Horse, Otter, Cricket",444
517,"Mouse, Fish, Horse",445
377,"Horse, Mosquito, Pig",445
639,"Otter, Pig, Ant",446
531,"Mouse, Mosquito, Ant",447
626,"Otter, Mouse, Mosquito",449
448,"Mosquito, Horse, Otter",450
420,"Mosquito, Beaver, Mouse",450
490,"Mouse, Ant, Horse",450
711,"Pig, Otter, Ant",450
40,"Ant, Horse, Horse",450
357,"Horse, Fish, Mouse",453
340,"Horse, Beaver, Otter",455
449,"Mosquito, Horse, Pig",455
285,"Fish, Horse, Mouse",455
554,"Mouse, Otter, Mosquito",455
474,"Mosquito, Otter, Mouse",455
58,"Ant, Mouse, Horse",456
686,"Pig, Horse, Cricket",457
719,"Pig, Otter, Pig",458
616,"Otter, Mosquito, Horse",459
622,"Otter, Mouse, Beaver",459
466,"Mosquito, Mouse, Otter",460
638,"Otter, Otter, Pig",461
241,"Cricket, Pig, Otter",463
503,"Mouse, Beaver, Pig",464
376,"Horse, Mosquito, Otter",465
605,"Otter, Horse, Cricket",465
361,"Horse, Horse, Beaver",466
689,"Pig, Horse, Mosquito",467
543,"Mouse, Mouse, Fish",468
142,"Beaver, Mouse, Otter",469
550,"Mouse, Otter, Beaver",473
387,"Horse, Otter, Ant",474
78,"Ant, Pig, Mouse",474
538,"Mouse, Mosquito, Otter",474
511,"Mouse, Cricket, Otter",476
150,"Beaver, Otter, Mouse",477
684,"Pig, Horse, Ant",477
580,"Otter, Beaver, Horse",477
121,"Beaver, Horse, Horse",477
481,"Mosquito, Pig, Horse",477
303,"Fish, Mouse, Mouse",478
718,"Pig, Otter, Otter",478
177,"Cricket, Beaver, Mouse",480
42,"Ant, Horse, Mouse",482
603,"Otter, Horse, Ant",482
551,"Mouse, Otter, Cricket",483
623,"Otter, Mouse, Cricket",483
703,"Pig, Mouse, Beaver",483
401,"Horse, Pig, Mosquito",484
697,"Pig, Mosquito, Horse",485
404,"Horse, Pig, Pig",486
727,"Pig, Pig, Otter",487
231,"Cricket, Otter, Mouse",489
591,"Otter, Cricket, Mouse",489
618,"Otter, Mosquito, Mouse",489
559,"Mouse, Pig, Beaver",490
337,"Horse, Beaver, Horse",491
223,"Cricket, Mouse, Otter",492
508,"Mouse, Cricket, Horse",494
398,"Horse, Pig, Cricket",496
539,"Mouse, Mosquito, Pig",497
502,"Mouse, Beaver, Otter",499
396,"Horse, Pig, Ant",500
143,"Beaver, Mouse, Pig",500
512,"Mouse, Cricket, Pig",501
220,"Cricket, Mouse, Horse",501
611,"Otter, Horse, Pig",504
692,"Pig, Horse, Pig",505
646,"Otter, Pig, Otter",506
395,"Horse, Otter, Pig",507
394,"Horse, Otter, Otter",508
159,"Beaver, Pig, Mouse",510
704,"Pig, Mouse, Cricket",510
634,"Otter, Otter, Horse",510
707,"Pig, Mouse, Mosquito",511
621,"Otter, Mouse, Ant",512
379,"Horse, Mouse, Beaver",513
224,"Cricket, Mouse, Pig",513
519,"Mouse, Fish, Mouse",517
523,"Mouse, Horse, Beaver",520
365,"Horse, Horse, Mosquito",523
549,"Mouse, Otter, Ant",523
445,"Mosquito, Horse, Horse",524
663,"Pig, Beaver, Mouse",525
724,"Pig, Pig, Horse",525
373,"Horse, Mosquito, Horse",527
610,"Otter, Horse, Otter",527
672,"Pig, Cricket, Mouse",528
691,"Pig, Horse, Otter",529
362,"Horse, Horse, Cricket",529
715,"Pig, Otter, Horse",530
702,"Pig, Mouse, Ant",531
204,"Cricket, Horse, Mouse",531
383,"Horse, Mouse, Mosquito",534
545,"Mouse, Mouse, Mosquito",534
563,"Mouse, Pig, Mosquito",534
139,"Beaver, Mouse, Horse",534
467,"Mosquito, Mouse, Pig",536
123,"Beaver, Horse, Mouse",536
643,"Otter, Pig, Horse",541
499,"Mouse, Beaver, Horse",541
582,"Otter, Beaver, Mouse",542
541,"Mouse, Mouse, Beaver",544
636,"Otter, Otter, Mouse",545
360,"Horse, Horse, Ant",545
380,"Horse, Mouse, Cricket",545
628,"Otter, Mouse, Otter",547
535,"Mouse, Mosquito, Horse",548
556,"Mouse, Otter, Otter",550
465,"Mosquito, Mouse, Mouse",551
527,"Mouse, Horse, Mosquito",552
483,"Mosquito, Pig, Mouse",552
463,"Mosquito, Mouse, Horse",552
699,"Pig, Mosquito, Mouse",553
403,"Horse, Pig, Otter",557
348,"Horse, Cricket, Mouse",557
560,"Mouse, Pig, Cricket",558
141,"Beaver, Mouse, Mouse",561
558,"Mouse, Pig, Ant",562
378,"Horse, Mouse, Ant",562
557,"Mouse, Otter, Pig",563
542,"Mouse, Mouse, Cricket",563
629,"Otter, Mouse, Pig",564
447,"Mosquito, Horse, Mouse",566
391,"Horse, Otter, Horse",567
537,"Mouse, Mosquito, Mouse",569
339,"Horse, Beaver, Mouse",570
709,"Pig, Mouse, Otter",573
368,"Horse, Horse, Pig",575
510,"Mouse, Cricket, Mouse",575
375,"Horse, Mosquito, Mouse",577
607,"Otter, Horse, Horse",579
524,"Mouse, Horse, Cricket",579
717,"Pig, Otter, Mouse",581
566,"Mouse, Pig, Pig",582
367,"Horse, Horse, Otter",585
240,"Cricket, Pig, Mouse",585
540,"Mouse, Mouse, Ant",586
522,"Mouse, Horse, Ant",589
222,"Cricket, Mouse, Mouse",589
400,"Horse, Pig, Horse",589
688,"Pig, Horse, Horse",593
565,"Mouse, Pig, Otter",596
710,"Pig, Mouse, Pig",597
385,"Horse, Mouse, Otter",599
501,"Mouse, Beaver, Mouse",600
625,"Otter, Mouse, Horse",604
393,"Horse, Otter, Mouse",607
553,"Mouse, Otter, Horse",608
645,"Otter, Pig, Mouse",614
726,"Pig, Pig, Mouse",615
529,"Mouse, Horse, Otter",617
547,"Mouse, Mouse, Otter",623
530,"Mouse, Horse, Pig",624
386,"Horse, Mouse, Pig",625
609,"Otter, Horse, Mouse",626
627,"Otter, Mouse, Mouse",633
562,"Mouse, Pig, Horse",633
706,"Pig, Mouse, Horse",635
364,"Horse, Horse, Horse",637
555,"Mouse, Otter, Mouse",638
690,"Pig, Horse, Mouse",639
548,"Mouse, Mouse, Pig",646
402,"Horse, Pig, Mouse",653
708,"Pig, Mouse, Mouse",654
382,"Horse, Mouse, Horse",655
526,"Mouse, Horse, Horse",663
366,"Horse, Horse, Mouse",669
384,"Horse, Mouse, Mouse",670
544,"Mouse, Mouse, Horse",670
564,"Mouse, Pig, Mouse",672
546,"Mouse, Mouse, Mouse",682
528,"Mouse, Horse, Mouse",684
