Team_ID,Team_Composition,Total_Win_Count
411,"Mosquito, Ant, Mouse",874827
570,"Otter, Ant, Fish",873438
82,"Beaver, Ant, Beaver",872842
56,"Ant, Mouse, Cricket",871723
74,"Ant, Pig, Cricket",870136
572,"Otter, Ant, Mosquito",868528
19,"Ant, Cricket, Beaver",858295
268,"Fish, Cricket, Otter",858005
438,"Mosquito, Fish, Mouse",856435
81,"Beaver, Ant, Ant",855775
294,"Fish, Mosquito, Mouse",855283
488,"Mouse, Ant, Cricket",852543
451,"Mosquito, Mosquito, Beaver",848386
253,"Fish, Beaver, Beaver",848023
75,"Ant, Pig, Fish",847507
18,"Ant, Cricket, Ant",847045
308,"Fish, Otter, Cricket",846060
309,"Fish, Otter, Fish",838828
70,"Ant, Otter, Otter",836812
450,"Mosquito, Mosquito, Ant",835282
169,"Cricket, Ant, Otter",835066
320,"Fish, Pig, Mosquito",831859
653,"Pig, Ant, Mosquito",831680
327,"Horse, Ant, Fish",831670
597,"Otter, Fish, Fish",819433
38,"Ant, Horse, Cricket",818070
57,"Ant, Mouse, Fish",816727
430,"Mosquito, Cricket, Otter",816659
133,"Beaver, Mosquito, Otter",814369
470,"Mosquito, Otter, Cricket",814173
15,"Ant, Beaver, Mouse",810146
95,"Beaver, Beaver, Mosquito",808210
22,"Ant, Cricket, Horse",808008
599,"Otter, Fish, Mosquito",805484
615,"Otter, Mosquito, Fish",805026
421,"Mosquito, Beaver, Otter",801605
471,"Mosquito, Otter, Fish",801018
311,"Fish, Otter, Mosquito",798287
35,"Ant, Fish, Pig",798178
31,"Ant, Fish, Horse",797838
102,"Beaver, Cricket, Fish",797392
617,"Otter, Mosquito, Mosquito",796094
456,"Mosquito, Mosquito, Mouse",793632
252,"Fish, Beaver, Ant",793398
480,"Mosquito, Pig, Fish",792713
109,"Beaver, Fish, Beaver",792258
274,"Fish, Fish, Horse",784956
278,"Fish, Fish, Pig",784728
354,"Horse, Fish, Fish",781051
196,"Cricket, Fish, Otter",778384
59,"Ant, Mouse, Mosquito",777053
77,"Ant, Pig, Mosquito",776818
24,"Ant, Cricket, Mouse",775524
39,"Ant, Horse, Fish",773962
677,"Pig, Fish, Cricket",771641
214,"Cricket, Mosquito, Otter",770239
696,"Pig, Mosquito, Fish",767771
482,"Mosquito, Pig, Mosquito",767423
680,"Pig, Fish, Mosquito",765140
473,"Mosquito, Otter, Mosquito",765102
8,"Ant, Ant, Pig",764320
4,"Ant, Ant, Horse",763977
163,"Cricket, Ant, Beaver",763948
87,"Beaver, Ant, Mouse",763433
329,"Horse, Ant, Mosquito",761863
282,"Fish, Horse, Fish",750913
174,"Cricket, Beaver, Fish",749916
108,"Beaver, Fish, Ant",749878
162,"Cricket, Ant, Ant",744747
92,"Beaver, Beaver, Cricket",741573
176,"Cricket, Beaver, Mosquito",740935
258,"Fish, Beaver, Mouse",735300
655,"Pig, Ant, Otter",732174
53,"Ant, Mosquito, Pig",731284
49,"Ant, Mosquito, Horse",731179
183,"Cricket, Cricket, Fish",730035
64,"Ant, Otter, Beaver",728409
596,"Otter, Fish, Cricket",727870
265,"Fish, Cricket, Horse",724510
614,"Otter, Mosquito, Cricket",724275
296,"Fish, Mosquito, Pig",722778
292,"Fish, Mosquito, Horse",722752
415,"Mosquito, Beaver, Beaver",722438
185,"Cricket, Cricket, Mosquito",716753
104,"Beaver, Cricket, Mosquito",715938
101,"Beaver, Cricket, Cricket",715510
317,"Fish, Pig, Cricket",714276
41,"Ant, Horse, Mosquito",712924
698,"Pig, Mosquito, Mosquito",711727
440,"Mosquito, Fish, Pig",710160
436,"Mosquito, Fish, Horse",709643
63,"Ant, Otter, Ant",706332
114,"Beaver, Fish, Mouse",703558
284,"Fish, Horse, Mosquito",702937
156,"Beaver, Pig, Fish",697467
695,"Pig, Mosquito, Cricket",696368
372,"Horse, Mosquito, Fish",694197
479,"Mosquito, Pig, Cricket",693795
574,"Otter, Ant, Otter",690904
356,"Horse, Fish, Mosquito",690160
127,"Beaver, Mosquito, Beaver",689968
489,"Mouse, Ant, Fish",688942
444,"Mosquito, Horse, Fish",687572
414,"Mosquito, Beaver, Ant",686402
660,"Pig, Beaver, Fish",681107
262,"Fish, Cricket, Beaver",681012
190,"Cricket, Fish, Beaver",678743
491,"Mouse, Ant, Mosquito",676239
313,"Fish, Otter, Otter",668256
182,"Cricket, Cricket, Cricket",661424
126,"Beaver, Mosquito, Ant",661421
454,"Mosquito, Mosquito, Horse",659652
458,"Mosquito, Mosquito, Pig",659610
475,"Mosquito, Otter, Otter",656534
208,"Cricket, Mosquito, Beaver",654945
261,"Fish, Cricket, Ant",654545
427,"Mosquito, Cricket, Horse",651746
300,"Fish, Mouse, Fish",651139
69,"Ant, Otter, Mouse",649086
97,"Beaver, Beaver, Otter",647500
446,"Mosquito, Horse, Mosquito",645775
168,"Cricket, Ant, Mouse",645755
353,"Horse, Fish, Cricket",645534
682,"Pig, Fish, Otter",645456
649,"Pig, Ant, Beaver",644175
61,"Ant, Mouse, Otter",641902
424,"Mosquito, Cricket, Beaver",641477
281,"Fish, Horse, Cricket",638720
374,"Horse, Mosquito, Mosquito",636591
91,"Beaver, Beaver, Beaver",636097
331,"Horse, Ant, Otter",635336
189,"Cricket, Fish, Ant",632584
423,"Mosquito, Cricket, Ant",627858
147,"Beaver, Otter, Fish",626979
207,"Cricket, Mosquito, Ant",625128
648,"Pig, Ant, Ant",624629
211,"Cricket, Mosquito, Horse",624346
420,"Mosquito, Beaver, Mouse",624219
79,"Ant, Pig, Otter",624017
193,"Cricket, Fish, Horse",623207
443,"Mosquito, Horse, Cricket",619277
601,"Otter, Fish, Otter",619113
619,"Otter, Mosquito, Otter",618588
516,"Mouse, Fish, Fish",617350
322,"Fish, Pig, Otter",616185
568,"Otter, Ant, Beaver",614901
371,"Horse, Mosquito, Cricket",614286
256,"Fish, Beaver, Horse",611922
299,"Fish, Mouse, Cricket",611862
260,"Fish, Beaver, Pig",611666
462,"Mosquito, Mouse, Fish",608668
132,"Beaver, Mosquito, Mouse",608625
588,"Otter, Cricket, Fish",607272
534,"Mouse, Mosquito, Fish",604266
316,"Fish, Pig, Beaver",603062
579,"Otter, Beaver, Fish",601890
567,"Otter, Ant, Ant",599040
228,"Cricket, Otter, Fish",598257
302,"Fish, Mouse, Mosquito",596260
158,"Beaver, Pig, Mosquito",592072
581,"Otter, Beaver, Mosquito",591537
106,"Beaver, Cricket, Otter",589593
267,"Fish, Cricket, Mouse",588389
201,"Cricket, Horse, Fish",588097
17,"Ant, Beaver, Pig",587472
13,"Ant, Beaver, Horse",586671
518,"Mouse, Fish, Mosquito",586299
590,"Otter, Cricket, Mosquito",585710
26,"Ant, Cricket, Pig",585616
461,"Mosquito, Mouse, Cricket",585141
203,"Cricket, Horse, Mosquito",583906
700,"Pig, Mosquito, Otter",582969
484,"Mosquito, Pig, Otter",582354
195,"Cricket, Fish, Mouse",581968
247,"Fish, Ant, Horse",579679
251,"Fish, Ant, Pig",579422
146,"Beaver, Otter, Cricket",575446
173,"Cricket, Beaver, Cricket",575036
73,"Ant, Pig, Beaver",572284
213,"Cricket, Mosquito, Mouse",571162
662,"Pig, Beaver, Mosquito",568449
536,"Mouse, Mosquito, Mosquito",568015
112,"Beaver, Fish, Horse",567493
116,"Beaver, Fish, Pig",567228
429,"Mosquito, Cricket, Mouse",566191
90,"Beaver, Beaver, Ant",565634
669,"Pig, Cricket, Fish",564574
336,"Horse, Beaver, Fish",563198
230,"Cricket, Otter, Mosquito",562978
149,"Beaver, Otter, Mosquito",561200
43,"Ant, Horse, Otter",560772
676,"Pig, Fish, Beaver",556877
464,"Mosquito, Mouse, Mosquito",553929
120,"Beaver, Horse, Fish",549194
184,"Cricket, Cricket, Horse",547406
409,"Mosquito, Ant, Horse",546304
413,"Mosquito, Ant, Pig",546102
595,"Otter, Fish, Beaver",539053
325,"Horse, Ant, Beaver",536358
72,"Ant, Pig, Ant",531127
315,"Fish, Pig, Ant",528144
587,"Otter, Cricket, Cricket",528080
227,"Cricket, Otter, Cricket",527354
613,"Otter, Mosquito, Beaver",523353
187,"Cricket, Cricket, Otter",522002
55,"Ant, Mouse, Beaver",521896
422,"Mosquito, Beaver, Pig",521672
418,"Mosquito, Beaver, Horse",521396
324,"Horse, Ant, Ant",518185
358,"Horse, Fish, Otter",516590
239,"Cricket, Pig, Mosquito",513892
478,"Mosquito, Pig, Beaver",513521
654,"Pig, Ant, Mouse",513170
237,"Cricket, Pig, Fish",512677
307,"Fish, Otter, Beaver",512412
155,"Beaver, Pig, Cricket",511408
533,"Mouse, Mosquito, Cricket",509340
493,"Mouse, Ant, Otter",509138
130,"Beaver, Mosquito, Horse",508537
134,"Beaver, Mosquito, Pig",507676
573,"Otter, Ant, Mouse",506897
671,"Pig, Cricket, Mosquito",503147
376,"Horse, Mosquito, Otter",502202
286,"Fish, Horse, Otter",501866
448,"Mosquito, Horse, Otter",499391
54,"Ant, Mouse, Ant",495921
469,"Mosquito, Otter, Beaver",495783
96,"Beaver, Beaver, Mouse",495087
594,"Otter, Fish, Ant",494988
675,"Pig, Fish, Ant",493778
659,"Pig, Beaver, Cricket",489463
338,"Horse, Beaver, Mosquito",489391
345,"Horse, Cricket, Fish",488930
515,"Mouse, Fish, Cricket",487044
166,"Cricket, Ant, Horse",486777
37,"Ant, Horse, Beaver",486584
306,"Fish, Otter, Ant",486538
178,"Cricket, Beaver, Otter",486428
612,"Otter, Mosquito, Ant",485449
172,"Cricket, Beaver, Beaver",483015
122,"Beaver, Horse, Mosquito",482993
175,"Cricket, Beaver, Horse",482972
668,"Pig, Cricket, Cricket",478591
468,"Mosquito, Otter, Ant",477971
200,"Cricket, Horse, Cricket",477019
694,"Pig, Mosquito, Beaver",474366
633,"Otter, Otter, Fish",469026
477,"Mosquito, Pig, Ant",468664
269,"Fish, Cricket, Pig",468610
100,"Beaver, Cricket, Beaver",465676
67,"Ant, Otter, Horse",465454
71,"Ant, Otter, Pig",464943
215,"Cricket, Mosquito, Pig",463040
103,"Beaver, Cricket, Horse",457119
578,"Otter, Beaver, Cricket",454521
197,"Cricket, Fish, Pig",453990
352,"Horse, Fish, Beaver",452859
321,"Fish, Pig, Mouse",451862
347,"Horse, Cricket, Mosquito",448460
431,"Mosquito, Cricket, Pig",447942
36,"Ant, Horse, Ant",447327
600,"Otter, Fish, Mouse",447200
151,"Beaver, Otter, Otter",446424
280,"Fish, Horse, Beaver",442209
635,"Otter, Otter, Mosquito",440532
119,"Beaver, Horse, Cricket",439079
693,"Pig, Mosquito, Ant",437619
138,"Beaver, Mouse, Fish",437374
466,"Mosquito, Mouse, Otter",437032
304,"Fish, Mouse, Otter",436736
78,"Ant, Pig, Mouse",433673
60,"Ant, Mouse, Mouse",432595
89,"Beaver, Ant, Pig",432388
85,"Beaver, Ant, Horse",432228
312,"Fish, Otter, Mouse",431018
681,"Pig, Fish, Mouse",429419
618,"Otter, Mosquito, Mouse",428627
474,"Mosquito, Otter, Mouse",425555
98,"Beaver, Beaver, Pig",425471
94,"Beaver, Beaver, Horse",425454
99,"Beaver, Cricket, Ant",424288
487,"Mouse, Ant, Beaver",422628
538,"Mouse, Mosquito, Otter",420477
714,"Pig, Otter, Fish",419196
498,"Mouse, Beaver, Fish",416765
171,"Cricket, Beaver, Ant",415249
723,"Pig, Pig, Fish",414784
330,"Horse, Ant, Mouse",413265
486,"Mouse, Ant, Ant",412622
370,"Horse, Mosquito, Beaver",410877
344,"Horse, Cricket, Cricket",410316
442,"Mosquito, Horse, Beaver",408003
507,"Mouse, Cricket, Fish",407308
642,"Otter, Pig, Fish",405942
160,"Beaver, Pig, Otter",403985
592,"Otter, Cricket, Otter",402650
154,"Beaver, Pig, Beaver",401838
632,"Otter, Otter, Cricket",400972
483,"Mosquito, Pig, Mouse",398755
644,"Otter, Pig, Mosquito",395881
181,"Cricket, Cricket, Beaver",395448
335,"Horse, Beaver, Cricket",395400
520,"Mouse, Fish, Otter",392746
232,"Cricket, Otter, Otter",392052
509,"Mouse, Cricket, Mosquito",391146
658,"Pig, Beaver, Beaver",389381
219,"Cricket, Mouse, Fish",387864
351,"Horse, Fish, Ant",384438
664,"Pig, Beaver, Otter",382913
140,"Beaver, Mouse, Mosquito",381225
279,"Fish, Horse, Ant",380934
500,"Mouse, Beaver, Mosquito",380189
583,"Otter, Beaver, Otter",378909
137,"Beaver, Mouse, Cricket",378188
577,"Otter, Beaver, Beaver",376322
699,"Pig, Mosquito, Mouse",374964
441,"Mosquito, Horse, Ant",371651
369,"Horse, Mosquito, Ant",370958
221,"Cricket, Mouse, Mosquito",368689
205,"Cricket, Horse, Otter",364458
716,"Pig, Otter, Mosquito",362284
42,"Ant, Horse, Mouse",361746
180,"Cricket, Cricket, Ant",360943
390,"Horse, Otter, Fish",357016
170,"Cricket, Ant, Pig",356639
236,"Cricket, Pig, Cricket",352738
514,"Mouse, Fish, Beaver",352060
145,"Beaver, Otter, Beaver",350533
532,"Mouse, Mosquito, Beaver",346607
177,"Cricket, Beaver, Mouse",346114
105,"Beaver, Cricket, Mouse",344914
673,"Pig, Cricket, Otter",344727
323,"Fish, Pig, Pig",344199
319,"Fish, Pig, Horse",344052
602,"Otter, Fish, Pig",342888
598,"Otter, Fish, Horse",342528
616,"Otter, Mosquito, Horse",341013
620,"Otter, Mosquito, Pig",340957
725,"Pig, Pig, Mosquito",336757
713,"Pig, Otter, Cricket",334413
298,"Fish, Mouse, Beaver",332836
476,"Mosquito, Otter, Pig",332219
472,"Mosquito, Otter, Horse",331546
314,"Fish, Otter, Pig",330773
310,"Fish, Otter, Horse",330740
124,"Beaver, Horse, Otter",329890
199,"Cricket, Horse, Beaver",328783
492,"Mouse, Ant, Mouse",326202
606,"Otter, Horse, Fish",325004
506,"Mouse, Cricket, Cricket",324745
153,"Beaver, Pig, Ant",322356
460,"Mosquito, Mouse, Beaver",321798
576,"Otter, Beaver, Ant",319373
608,"Otter, Horse, Mosquito",318647
285,"Fish, Horse, Mouse",318471
392,"Horse, Otter, Mosquito",318379
447,"Mosquito, Horse, Mouse",316565
357,"Horse, Fish, Mouse",314780
144,"Beaver, Otter, Ant",313225
375,"Horse, Mosquito, Mouse",309772
586,"Otter, Cricket, Beaver",307762
531,"Mouse, Mosquito, Ant",306539
481,"Mosquito, Pig, Horse",305972
657,"Pig, Beaver, Ant",305713
485,"Mosquito, Pig, Pig",305192
334,"Horse, Beaver, Beaver",303968
297,"Fish, Mouse, Ant",299941
679,"Pig, Fish, Horse",299681
683,"Pig, Fish, Pig",299523
226,"Cricket, Otter, Beaver",298621
118,"Beaver, Horse, Beaver",298612
340,"Horse, Beaver, Otter",297886
218,"Cricket, Mouse, Cricket",297236
513,"Mouse, Fish, Ant",296596
459,"Mosquito, Mouse, Ant",296365
179,"Cricket, Beaver, Pig",295653
399,"Horse, Pig, Fish",293398
637,"Otter, Otter, Otter",291969
589,"Otter, Cricket, Horse",286805
624,"Otter, Mouse, Fish",286111
697,"Pig, Mosquito, Horse",285852
701,"Pig, Mosquito, Pig",285789
687,"Pig, Horse, Fish",284058
349,"Horse, Cricket, Otter",283762
107,"Beaver, Cricket, Pig",281295
552,"Mouse, Otter, Fish",279335
389,"Horse, Otter, Cricket",277408
186,"Cricket, Cricket, Mouse",275959
641,"Otter, Pig, Cricket",273045
62,"Ant, Mouse, Pig",273018
497,"Mouse, Beaver, Cricket",272708
198,"Cricket, Horse, Ant",272599
58,"Ant, Mouse, Horse",272425
626,"Otter, Mouse, Mosquito",272013
585,"Otter, Cricket, Ant",270217
554,"Mouse, Otter, Mosquito",268189
571,"Otter, Ant, Horse",267434
575,"Otter, Ant, Pig",267314
722,"Pig, Pig, Cricket",263728
582,"Otter, Beaver, Mouse",261872
225,"Cricket, Otter, Ant",259058
689,"Pig, Horse, Mosquito",258698
76,"Ant, Pig, Horse",258535
80,"Ant, Pig, Pig",258130
667,"Pig, Cricket, Beaver",257671
142,"Beaver, Mouse, Otter",257333
401,"Horse, Pig, Mosquito",256773
150,"Beaver, Otter, Mouse",253362
537,"Mouse, Mosquito, Mouse",250295
465,"Mosquito, Mouse, Mouse",248912
235,"Cricket, Pig, Beaver",248718
241,"Cricket, Pig, Otter",248584
303,"Fish, Mouse, Mouse",246114
229,"Cricket, Otter, Horse",245860
117,"Beaver, Horse, Ant",244421
159,"Beaver, Pig, Mouse",242676
519,"Mouse, Fish, Mouse",238124
652,"Pig, Ant, Horse",236681
656,"Pig, Ant, Pig",236586
705,"Pig, Mouse, Fish",233882
605,"Otter, Horse, Cricket",232766
718,"Pig, Otter, Otter",231998
333,"Horse, Beaver, Ant",229866
373,"Horse, Mosquito, Horse",227140
377,"Horse, Mosquito, Pig",226819
511,"Mouse, Cricket, Otter",226680
238,"Cricket, Pig, Horse",226049
631,"Otter, Otter, Beaver",225300
663,"Pig, Beaver, Mouse",221605
584,"Otter, Beaver, Pig",220731
580,"Otter, Beaver, Horse",220644
40,"Ant, Horse, Horse",218671
44,"Ant, Horse, Pig",218354
359,"Horse, Fish, Pig",216360
355,"Horse, Fish, Horse",216326
496,"Mouse, Beaver, Beaver",216087
343,"Horse, Cricket, Beaver",215784
623,"Otter, Mouse, Cricket",214820
449,"Mosquito, Horse, Pig",214202
445,"Mosquito, Horse, Horse",214076
204,"Cricket, Horse, Mouse",213424
561,"Mouse, Pig, Fish",211327
666,"Pig, Cricket, Ant",210290
283,"Fish, Horse, Horse",209383
287,"Fish, Horse, Pig",209300
670,"Pig, Cricket, Horse",208708
707,"Pig, Mouse, Mosquito",208130
136,"Beaver, Mouse, Beaver",207978
188,"Cricket, Cricket, Pig",207195
202,"Cricket, Horse, Horse",206525
502,"Mouse, Beaver, Otter",206060
148,"Beaver, Otter, Horse",205365
152,"Beaver, Otter, Pig",205241
551,"Mouse, Otter, Cricket",204763
223,"Cricket, Mouse, Otter",201309
686,"Pig, Horse, Cricket",199465
363,"Horse, Horse, Fish",198604
157,"Beaver, Pig, Horse",196000
161,"Beaver, Pig, Pig",196000
591,"Otter, Cricket, Mouse",195287
365,"Horse, Horse, Mosquito",191694
123,"Beaver, Horse, Mouse",190637
539,"Mouse, Mosquito, Pig",189679
231,"Cricket, Otter, Mouse",189458
535,"Mouse, Mosquito, Horse",189410
381,"Horse, Mouse, Fish",189304
630,"Otter, Otter, Ant",189207
640,"Otter, Pig, Beaver",186748
712,"Pig, Otter, Beaver",186648
646,"Otter, Pig, Otter",186630
398,"Horse, Pig, Cricket",184990
563,"Mouse, Pig, Mosquito",183721
332,"Horse, Ant, Pig",182206
328,"Horse, Ant, Horse",182057
394,"Horse, Otter, Otter",179973
661,"Pig, Beaver, Horse",178053
665,"Pig, Beaver, Pig",177939
234,"Cricket, Pig, Ant",175788
135,"Beaver, Mouse, Ant",174741
383,"Horse, Mouse, Mosquito",174342
342,"Horse, Cricket, Ant",173132
521,"Mouse, Fish, Pig",171354
517,"Mouse, Fish, Horse",171317
505,"Mouse, Cricket, Beaver",171278
217,"Cricket, Mouse, Beaver",169351
346,"Horse, Cricket, Horse",165933
495,"Mouse, Beaver, Ant",159520
704,"Pig, Mouse, Cricket",159272
467,"Mosquito, Mouse, Pig",157415
463,"Mosquito, Mouse, Horse",157336
721,"Pig, Pig, Beaver",156179
727,"Pig, Pig, Otter",156017
527,"Mouse, Horse, Mosquito",155743
339,"Horse, Beaver, Mouse",155283
525,"Mouse, Horse, Fish",154659
610,"Otter, Horse, Otter",154584
543,"Mouse, Mouse, Fish",150708
388,"Horse, Otter, Beaver",150608
545,"Mouse, Mouse, Mosquito",147340
604,"Otter, Horse, Beaver",146710
206,"Cricket, Horse, Pig",143948
593,"Otter, Cricket, Pig",143920
711,"Pig, Otter, Ant",142864
305,"Fish, Mouse, Pig",141315
301,"Fish, Mouse, Horse",141159
490,"Mouse, Ant, Horse",140781
494,"Mouse, Ant, Pig",140737
628,"Otter, Mouse, Otter",140021
233,"Cricket, Otter, Pig",139908
362,"Horse, Horse, Cricket",136489
141,"Beaver, Mouse, Mouse",136050
556,"Mouse, Otter, Otter",135945
504,"Mouse, Cricket, Ant",133358
636,"Otter, Otter, Mouse",132047
121,"Beaver, Horse, Horse",128000
125,"Beaver, Horse, Pig",128000
380,"Horse, Mouse, Cricket",127354
508,"Mouse, Cricket, Horse",127327
216,"Cricket, Mouse, Ant",126979
639,"Otter, Pig, Ant",126891
341,"Horse, Beaver, Pig",122053
560,"Mouse, Pig, Cricket",121945
337,"Horse, Beaver, Horse",121919
622,"Otter, Mouse, Beaver",121334
672,"Pig, Cricket, Mouse",120014
550,"Mouse, Otter, Beaver",113363
387,"Horse, Otter, Ant",108941
397,"Horse, Pig, Beaver",108133
403,"Horse, Pig, Otter",107939
603,"Otter, Horse, Ant",102976
240,"Cricket, Pig, Mouse",102679
501,"Mouse, Beaver, Mouse",102670
685,"Pig, Horse, Beaver",99996
691,"Pig, Horse, Otter",99920
524,"Mouse, Horse, Cricket",98039
220,"Cricket, Mouse, Horse",97974
348,"Horse, Cricket, Mouse",96026
638,"Otter, Otter, Pig",96000
634,"Otter, Otter, Horse",96000
542,"Mouse, Mouse, Cricket",94000
621,"Otter, Mouse, Ant",88916
242,"Cricket, Pig, Pig",86676
499,"Mouse, Beaver, Horse",86648
503,"Mouse, Beaver, Pig",86621
549,"Mouse, Otter, Ant",80936
143,"Beaver, Mouse, Pig",78663
139,"Beaver, Mouse, Horse",78610
703,"Pig, Mouse, Beaver",78563
720,"Pig, Pig, Ant",78036
222,"Cricket, Mouse, Mouse",78000
709,"Pig, Mouse, Otter",76696
674,"Pig, Cricket, Pig",76602
717,"Pig, Otter, Mouse",74684
565,"Mouse, Pig, Otter",74659
559,"Mouse, Pig, Beaver",74640
510,"Mouse, Cricket, Mouse",70000
361,"Horse, Horse, Beaver",68024
367,"Horse, Horse, Otter",67964
645,"Otter, Pig, Mouse",66620
379,"Horse, Mouse, Beaver",62679
350,"Horse, Cricket, Pig",60624
385,"Horse, Mouse, Otter",60623
609,"Otter, Horse, Mouse",58654
643,"Otter, Pig, Horse",56000
647,"Otter, Pig, Pig",56000
396,"Horse, Pig, Ant",53956
627,"Otter, Mouse, Mouse",52000
523,"Mouse, Horse, Beaver",50647
529,"Mouse, Horse, Otter",50625
393,"Horse, Otter, Mouse",50577
684,"Pig, Horse, Ant",50003
719,"Pig, Otter, Pig",48000
541,"Mouse, Mouse, Beaver",48000
715,"Pig, Otter, Horse",48000
224,"Cricket, Mouse, Pig",48000
512,"Mouse, Cricket, Pig",46000
547,"Mouse, Mouse, Otter",46000
611,"Otter, Horse, Pig",40000
607,"Otter, Horse, Horse",40000
702,"Pig, Mouse, Ant",39342
558,"Mouse, Pig, Ant",37330
555,"Mouse, Otter, Mouse",36000
360,"Horse, Horse, Ant",34029
395,"Horse, Otter, Pig",32000
629,"Otter, Mouse, Pig",32000
625,"Otter, Mouse, Horse",32000
391,"Horse, Otter, Horse",32000
378,"Horse, Mouse, Ant",31414
522,"Mouse, Horse, Ant",25360
557,"Mouse, Otter, Pig",24000
553,"Mouse, Otter, Horse",24000
540,"Mouse, Mouse, Ant",24000
708,"Pig, Mouse, Mouse",0
710,"Pig, Mouse, Pig",0
726,"Pig, Pig, Mouse",0
